"slug","query"
"best-usb-c-hub-for-dual-monitors","best usb c hub for dual monitors"
"best-usb-c-hub-for-macbook-air-m1","best usb c hub for macbook air m1"
"best-usb-c-hub-for-lenovo-thinkpad","best usb c hub for lenovo thinkpad"
"best-usb-c-hub-for-ipad-pro","best usb c hub for ipad pro"
"best-usb-c-hub-with-ethernet","best usb c hub with ethernet"
"best-usb-c-hub-with-sd-card-reader","best usb c hub with sd card reader"
"best-usb-c-hub-for-steam-deck","best usb c hub for steam deck"
"best-65w-gan-charger-uk","best 65w gan charger uk"
"best-100w-gan-charger-uk","best 100w gan charger uk"
"best-gan-charger-for-macbook-pro","best gan charger for macbook pro"
"best-gan-charger-for-travel","best gan charger for travel"
"best-charger-for-samsung-s24-uk","best charger for samsung s24 uk"
"best-magsafe-car-charger-uk","best magsafe car charger uk"
"best-power-bank-for-iphone-15","best power bank for iphone 15"
"best-power-bank-for-long-flights","best power bank for long flights"
"best-power-bank-under-30-uk","best power bank under 30 uk"
"best-power-bank-with-usb-c-output","best power bank with usb c output"
"best-power-bank-20000mah-uk","best power bank 20000mah uk"
"best-usb-c-cable-for-fast-charging","best usb c cable for fast charging"
"best-usb-c-cable-for-iphone-15","best usb c cable for iphone 15"
"best-usb-c-to-hdmi-adapter","best usb c to hdmi adapter"
"best-usb-c-to-displayport-adapter","best usb c to displayport adapter"
"best-usb-c-to-aux-adapter","best usb c to aux adapter"
"best-usb-c-ethernet-adapter","best usb c ethernet adapter"
"usb-c-hub-vs-docking-station","usb c hub vs docking station"
